	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
0KWCUmVJ.XR717oo7c	CORO1B	0.0468784381018542	1.56	178.08	278.02	coronin, actin binding protein, 1B
W5qfa7oqui57jdhB8c	TMEM187	0.0469820369286468	1.45	111	161.35	transmembrane protein 187
lLhQjHTur6HlShEkjk	AK2	0.0470456499476443	-1.5	93.13	62.07	adenylate kinase 2
WTKniko.oNKU7fdSJU	MMRN1	0.0472129948141697	-1.6	125.48	78.43	multimerin 1
3jfUJUTUpSUKzTklXI	FIG4	0.0472129948141697	1.53	113.53	174.09	FIG4 phosphoinositide 5-phosphatase
0HelXOmuilLH_QBRgE	NA	0.0472290140732878	-1.54	504.36	326.61	NA
uGAZTct4NUm2qd7lJ8	RRAGC	0.0473317471412716	1.47	330.26	485.96	Ras-related GTP binding C
Evn8IEKX_iunAfkZG4	GALNT10	0.0473784321226941	1.77	136.61	242.01	polypeptide N-acetylgalactosaminyltransferase 10
67aXpJJFFyhCSV0nd8	MEF2A	0.0473784321226941	-1.44	157.27	108.94	myocyte enhancer factor 2A
3dInTyE2iL05SAIl9U	ZNF232	0.0475329099809689	-1.53	126.88	82.84	zinc finger protein 232
ioRaPdcY0JQtSefUCI	PRDX3	0.0475329099809689	-1.59	1085.13	682.98	peroxiredoxin 3
ujAVU3hSATlDXiDBdU	FAM213B	0.0475498312487019	-1.44	127.22	88.6	family with sequence similarity 213, member B
9qdNEKEfUn7khFFeU8	TMEM177	0.0475960071084576	-1.51	151.36	100.5	transmembrane protein 177
i3nnejp4KdepTfTuec	SRPRB	0.0475960071084576	1.65	503.81	831.4	signal recognition particle receptor, B subunit
HuSSQVEhN7NNCf1cRQ	ATL1	0.0476705238775802	1.48	273.62	404.51	atlastin GTPase 1
ZNPpfBVeXjtSuBhdbo	SLC38A10	0.0476705238775802	-1.48	95.08	64.2	solute carrier family 38, member 10
NateJLikjswwyld_gQ	SNRPA1	0.0476710564425446	-1.51	1228.28	812.46	small nuclear ribonucleoprotein polypeptide A'
iLomllojl4ZN7eKJrQ	SNURF	0.0476710564425446	1.56	373.28	581.28	SNRPN upstream reading frame
