	FDR	FC	NF1300	NF1347	NF1311	NF1341	WD1297	WD1349	WD1306	WD1340
SNAP25	0.0822299088322545	12.9833515720074	40.1910883320191	233.585385022983	53.7046616635889	53.6267215375342	1907.81166080186	456.881958970559	132.806321292671	8636.57522487921
KLHL31	0.0827059672332251	-3.47815445405312	1240.73779141104	312.83756922721	9321.26127656726	1102.38848191591	246.204861318759	44.4533797917301	1925.69165874373	1588.75790672331
PTTG1	0.0828421338646728	3.09461144961574	71.3067696213242	285.029785295902	162.281477635627	164.197281408739	576.318105867229	467.995303918492	633.0434648284	308.22362569018
KIF20B	0.0829369337683129	2.43267054259898	191.880034617381	429.630261738701	322.227969981533	208.978358156577	602.815490045032	677.914041823884	573.280620246698	832.261186686705
ANKRD65	0.0829369337683129	-2.63947113817111	728.625536857894	795.302620435396	1238.70969619713	2066.01091119346	240.684572948383	387.732257072313	980.553338877557	327.738715584902
DNM1	0.0829369337683129	-1.79471274450528	3385.12682693231	4513.20333205121	4106.07163197483	4849.62475595103	1492.6859753496	3280.90639185075	2529.96042062539	2366.49163635123
TMEM92	0.0829369337683129	5.12103749605155	28.5227078485297	44.492454290092	18.6798823177701	35.3825791587855	406.293224059655	83.9674951621569	287.747029467454	61.9891090773546
BEX2	0.0829369337683129	4.80666495171283	23.3367609669788	26.4173947347422	23.3498528972126	19.9027007768168	37.5379609185551	409.958946968178	46.4822124524349	204.334470662391
TONSL	0.0829369337683129	2.38505627835649	252.814910475604	399.041699414263	401.617469832056	437.85941708997	1062.10348246029	1091.57743710804	864.347807746469	575.695151894321
RUNDC3A	0.0829369337683129	3.49730954130225	57.0454156970593	76.4714058110957	16.3448970280488	30.9597567639373	242.892688296533	100.020104531393	54.2292478611741	242.216703987441
ABCC3	0.0829551608771766	4.54506453087533	119.276778275669	139.038919656538	1089.27063765497	783.392416687484	1181.34171126041	2072.02142473676	969.4861454365	2268.91618687762
NR4A1	0.0829551608771766	-2.35247987152735	58868.2760259244	12074.1397829737	21159.636695454	60959.2082153932	12524.4302547085	6496.36753011923	7755.88916349201	47029.6447265852
RELN	0.0829551608771766	-19.4930142838873	374.684662192049	244.708498595506	220.656109878659	195.709890972032	2.2081153481503	12.3481610532584	6.64031606463356	446.551174649832
CACNA1D	0.0835570649394526	2.83422084066295	40.1910883320191	69.5194598282688	64.2120954673346	24.325523171665	110.405767407515	138.299403796494	153.833988830678	121.682325225918
GSG2	0.0835570649394526	3.37571276421702	6.48243360193856	34.7597299141344	47.8671984392858	12.7156143851885	58.515056725983	71.6193341088986	96.2845829371867	55.1014302909818
MT-ND2	0.0837942972234795	-2.38504642634457	926341.058203742	905136.415018077	1088613.33929591	424186.814509096	325724.615294021	221991.534967163	529344.96900505	313179.884550207
GLI2	0.0837942972234795	2.26018010912673	439.508998211434	928.779983305672	364.257705196516	448.91647307709	1443.00338001622	1101.45596595065	787.984173003183	1371.79602495257
ORC1	0.0837942972234795	2.75048905613861	23.3367609669788	66.7386814351381	46.6997057944251	43.1225183497698	101.573306014914	175.343886956269	96.2845829371867	109.054914117568
NMRK1	0.0837942972234795	-1.92113939393184	2959.87918264515	2321.94995826418	3503.64542722674	2453.56072354203	1214.46344148267	2022.62878052372	1720.9485800842	1035.4477108847
NR2C1	0.0837942972234795	2.32145868117679	2004.3684697194	2264.944001205	2171.53631944077	1751.43766835988	10044.7167187357	3174.71220679273	3005.84973859079	5310.97431752557
KIF23	0.0839188359858608	2.89569569523799	128.352185318383	404.603256200525	194.971271691725	86.7978894988956	576.318105867229	448.238246233279	616.442674666815	370.786707999732
GJC2	0.0840963260875356	-2.72345234423866	318.935733215377	202.996822698545	262.685845093641	486.5104634333	109.30170973344	139.53421990182	84.1106701520251	119.386432297127
DBC1	0.084114721303538	6.52751394125579	0	47.2732326832228	21.0148676074913	15.4798783819686	3.31217302222545	196.335760746808	37.6284576995902	493.616979690046
CBX8	0.0841715330048305	3.42944354103624	267.076264399869	372.624304679521	183.296345243119	467.160615455839	688.931988622893	2312.81056527529	1533.91301093035	449.421040810821
TMEM100	0.0841715330048305	-1.96434994210415	2242.92202627074	2715.43010089218	3949.6276175635	2109.13342954323	1850.40066174995	869.310538149389	2034.15015446608	1040.61346997448
NCAPH	0.0845682853314674	2.67733531432456	57.0454156970593	88.9849085801841	145.936580607579	72.976569514995	218.60341946688	225.971347274628	243.478255703231	233.033132272277
HSPA6	0.0845860745348042	-2.50889573145304	5019.99658134122	1220.7617145844	1195.51246833728	1798.9830091045	734.198353259975	922.4076306784	543.399197955847	856.942035671207
NCAM2	0.0845860745348042	2.61833759442837	119.276778275669	247.489276988637	72.3845439813589	98.9606510847281	431.686550563384	382.792992651009	202.529639971324	296.744161046225
PEG10	0.0845860745348042	9.64640864810262	1822.86032886512	3179.82009254502	337.405374364722	518.023072996593	18308.5884091882	1268.15614016963	13887.114329837	8922.41389451368
