	FDR	FC	NF	WD
JAG1	0.829843604550373	-1.10453131464677	10155.7716813575	9177.76551035548
RNF214	0.830103883986991	1.07184196252867	1427.31275809226	1531.70380682919
KAT2B	0.830124620244839	-1.09469527551748	3893.12748187329	3468.71098914632
SCN1B	0.830124620244839	1.18779611046739	1365.69886617736	1216.53892062311
TRAPPC1	0.830178328252124	1.09024092714982	3255.23591613145	3694.37655364412
AL358813.2	0.830184603669947	1.14671741586319	94.884065305881	105.875414110566
NEO1	0.830184603669947	1.12853638663987	3383.50099610344	3424.93232656295
HAS2	0.830184603669947	-1.19673427626736	3345.35768502997	3010.52511613852
GRTP1	0.830237803212168	1.23392611172834	368.767995221314	290.261581189866
LRRC1	0.830802536160491	1.1296256253843	970.516527329109	1117.68350538793
ST6GALNAC1	0.830937990321103	-1.23523576030746	137.167965828374	85.8411880003843
CISD3	0.831049389616624	-1.09233154267516	1921.93337504902	1805.69869496496
CCDC84	0.831139153195207	1.08746758724425	2396.7440560212	2559.37312416965
CCM2	0.831402462608636	1.08901207638214	4556.38597256209	4986.77102030685
ZNF613	0.831402462608636	1.12167111571253	297.996413608816	346.717008592333
MTMR1	0.831402462608636	1.0830695815957	2354.78547899583	2490.69317685196
TRIM69	0.831402462608636	-1.0750769190111	3641.41185109837	3367.97446784467
SFR1	0.831402462608636	-1.11950483505862	426.633324468287	377.536576401058
SMYD5	0.831402462608636	1.07764059869657	1914.84539982781	2044.8825507808
RPS23	0.831402462608636	1.09353414296218	44776.0856933982	48808.3518676896
TIMM50	0.831402462608636	1.07445166866557	3068.16866222356	3224.69534167383
ITGA1	0.831402462608636	1.15266640064607	9996.43449938721	10334.2437458579
STARD9	0.831402462608636	-1.11268386668181	5301.97380276948	4436.21024683898
TRMT61A	0.831402462608636	1.09198205647954	1986.93043904251	2119.34858372466
C21orf62	0.831402462608636	1.22825564217171	26.7717739899	38.6800595600491
